Borough,Business Type,Rank,Confidence,Tier,Population
Barking and Dagenham,Coffee Shop / Cafe,1,96.6,Prime Location,439
Barking and Dagenham,Coffee Shop / Cafe,2,93.6,Strong Recommend,526
Barking and Dagenham,Coffee Shop / Cafe,3,91.4,Competitive,518
Barnet,Coffee Shop / Cafe,1,98.2,Competitive,615
Barnet,Coffee Shop / Cafe,2,98.0,Competitive,692
Barnet,Coffee Shop / Cafe,3,93.2,Strong Recommend,971
Bexley,Coffee Shop / Cafe,1,92.8,Strong Recommend,344
Bexley,Coffee Shop / Cafe,2,88.3,Strong Recommend,323
Bexley,Coffee Shop / Cafe,3,88.2,Strong Recommend,350
Brent,Coffee Shop / Cafe,1,96.8,Viable,936
Brent,Coffee Shop / Cafe,2,94.0,Competitive,828
Brent,Coffee Shop / Cafe,3,89.6,Competitive,1016
Bromley,Coffee Shop / Cafe,1,97.8,Prime Location,617
Bromley,Coffee Shop / Cafe,2,96.5,Competitive,803
Bromley,Coffee Shop / Cafe,3,91.1,Competitive,554
Camden,Coffee Shop / Cafe,1,98.3,Competitive,1232
Camden,Coffee Shop / Cafe,2,96.3,Competitive,684
Camden,Coffee Shop / Cafe,3,94.8,Competitive,653
City of London,Coffee Shop / Cafe,1,97.0,Competitive,1894
City of London,Coffee Shop / Cafe,2,95.8,Competitive,3220
City of London,Coffee Shop / Cafe,3,90.9,Competitive,1595
City of Westminster,Coffee Shop / Cafe,1,96.4,Competitive,3239
City of Westminster,Coffee Shop / Cafe,2,96.2,Competitive,1336
City of Westminster,Coffee Shop / Cafe,3,96.1,Competitive,2837
Croydon,Coffee Shop / Cafe,1,98.9,Competitive,1357
Croydon,Coffee Shop / Cafe,2,98.0,Competitive,1234
Croydon,Coffee Shop / Cafe,3,96.4,Prime Location,476
Ealing,Coffee Shop / Cafe,1,95.9,Prime Location,808
Ealing,Coffee Shop / Cafe,2,95.1,Competitive,747
Ealing,Coffee Shop / Cafe,3,92.9,Competitive,561
Enfield,Coffee Shop / Cafe,1,96.2,Strong Recommend,511
Enfield,Coffee Shop / Cafe,2,93.1,Competitive,633
Enfield,Coffee Shop / Cafe,3,89.5,Viable,711
Greenwich,Coffee Shop / Cafe,1,97.7,Competitive,1540
Greenwich,Coffee Shop / Cafe,2,97.6,Competitive,2352
Greenwich,Coffee Shop / Cafe,3,95.9,Competitive,1648
Hackney,Coffee Shop / Cafe,1,97.7,Competitive,864
Hackney,Coffee Shop / Cafe,2,95.7,Competitive,871
Hackney,Coffee Shop / Cafe,3,95.0,Competitive,851
Hammersmith and Fulham,Coffee Shop / Cafe,1,95.9,Competitive,879
Hammersmith and Fulham,Coffee Shop / Cafe,2,95.8,Competitive,980
Hammersmith and Fulham,Coffee Shop / Cafe,3,95.6,Competitive,1038
Haringey,Coffee Shop / Cafe,1,95.7,Competitive,825
Haringey,Coffee Shop / Cafe,2,91.4,Competitive,854
Haringey,Coffee Shop / Cafe,3,90.7,Competitive,617
Harrow,Coffee Shop / Cafe,1,96.0,Prime Location,641
Harrow,Coffee Shop / Cafe,2,95.1,Prime Location,519
Harrow,Coffee Shop / Cafe,3,93.9,Strong Recommend,367
Havering,Coffee Shop / Cafe,1,95.2,Prime Location,329
Havering,Coffee Shop / Cafe,2,95.2,Prime Location,470
Havering,Coffee Shop / Cafe,3,85.5,Strong Recommend,409
Hillingdon,Coffee Shop / Cafe,1,94.0,Viable,530
