h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89194e691afffff,"POLYGON ((-0.0212696197672305 51.58589315161328, -0.023363862576367 51.584916545102956, -0.0229331457817062 51.583170872400046, -0.0204083432185214 51.582401826883405, -0.0183141954863166 51.58337841297309, -0.0187447552407848 51.585124064998645, -0.0212696197672305 51.58589315161328))",Waltham Forest,1696.3994140625,6,8,1,10,1,0,1,0,1,0,1,33,25,8,25,0,4,6,11,1,11,71.51370679380211,35.62616356026917,55.01385056463306,5.244338498212158,14.776017800745967,51,341,209,601,5.3471075307174685,5.834810737062605,3.9512437185814275,6.400257445308821,151.3415903008025,5.026125304044694,2,10,2.3978952727983707,0.00035528185693983896,0.005598537002511716,0.016134272055599166,0.4,0.007865674861121297,5.9213116739668365e-05,6,-7.7193546,9.68652,5.9623313,1,1,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.4243}, {'feature': 'n_restaurant', 'shap': 1.1676}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.5632}]","[{'feature': 'n_cafe', 'shap': 1.2899}, {'feature': 'n_fast_food', 'shap': 1.1687}, {'feature': 'population', 'shap': 0.3588}]","[{'feature': 'n_restaurant', 'shap': 1.299}, {'feature': 'n_cafe', 'shap': 0.8153}, {'feature': 'n_fast_food', 'shap': 0.509}]","[{'feature': 'n_restaurant', 'shap': 1.2812}, {'feature': 'n_cafe', 'shap': 1.0895}, {'feature': 'violent_crime_log1p', 'shap': 0.7399}]","[{'feature': 'n_cafe', 'shap': 0.7085}, {'feature': 'n_restaurant', 'shap': 0.5304}, {'feature': 'property_crime_log1p', 'shap': 0.472}]","[{'feature': 'n_restaurant', 'shap': 1.1716}, {'feature': 'n_cafe', 'shap': 0.8439}, {'feature': 'n_fast_food', 'shap': 0.702}]",0.9953892,1,True Positive,0.99388593,1,True Positive,0.984242,1,Expansion Opportunity,0.9912458,1,True Positive,0.939765,1,Expansion Opportunity,0.9822955,1,False Positive (Recommendation),True Positive,0.9953892,1,1,False,False,True,False,True,False,,,,,,Viable,3.0,0.5501385056463306,901.2546386316545,51.5841474914588,-0.0208389968459949
89195da4cbbffff,"POLYGON ((-0.1428388940229373 51.54857285731304, -0.1449318694856035 51.547592915069075, -0.1444972621536696 51.5458462649362, -0.1419698363378903 51.54507957751785, -0.1398769553558273 51.54605949915002, -0.1403114057093189 51.54780612881095, -0.1428388940229373 51.54857285731304))",Camden,1126.275634765625,5,5,2,4,1,0,3,0,0,0,0,48,70,37,26,3,10,5,8,0,7,61.49193548387097,35.20605494224774,63.677513698778924,13.104838709677427,10.909229660682655,34,104,78,216,4.3694478524670215,4.653960350157523,3.5553480614894135,5.37989735354046,302.35024716802667,5.714888069182854,5,3,1.3862943611198906,0.00035528185693983896,0.008545188244270306,0.018457590018968757,0.4,0.007865674861121297,5.9213116739668365e-05,9,-6.4245014,10.881224,6.227704,1,1,1,1,1,0,1,"[{'feature': 'n_restaurant', 'shap': 1.2886}, {'feature': 'n_fast_food', 'shap': 1.2169}, {'feature': 'n_pub', 'shap': 0.4786}]","[{'feature': 'n_cafe', 'shap': 1.3182}, {'feature': 'n_fast_food', 'shap': 1.1303}, {'feature': 'n_pub', 'shap': 0.8551}]","[{'feature': 'n_restaurant', 'shap': 1.0644}, {'feature': 'n_cafe', 'shap': 0.8309}, {'feature': 'nearby_pub', 'shap': 0.729}]","[{'feature': 'n_restaurant', 'shap': 1.1613}, {'feature': 'n_cafe', 'shap': 0.9801}, {'feature': 'violent_crime_log1p', 'shap': 0.8071}]","[{'feature': 'n_cafe', 'shap': 0.687}, {'feature': 'n_restaurant', 'shap': 0.4064}, {'feature': 'property_crime_log1p', 'shap': 0.3204}]","[{'feature': 'n_restaurant', 'shap': 0.938}, {'feature': 'n_cafe', 'shap': 0.7561}, {'feature': 'n_fast_food', 'shap': 0.6217}]",0.9889381,1,True Positive,0.99315345,1,True Positive,0.9882691,1,True Positive,0.9807771,1,True Positive,0.8443515,1,Expansion Opportunity,0.97320086,1,False Positive (Recommendation),True Positive,0.9889381,1,1,False,False,False,False,True,False,,,,,,Competitive,2.0,0.6367751369877892,682.1843216138901,51.5468262195955,-0.14240438031406358
89194e69da7ffff,"POLYGON ((0.0246905197176698 51.55088728075178, 0.0225976050858758 51.54991106485691, 0.0230264803510169 51.54816509058878, 0.0255481134552288 51.54739535300901, 0.0276409329491739 51.54837154856381, 0.027212214476298 51.55011750203701, 0.0246905197176698 51.55088728075178))",Newham,1060.578369140625,7,12,3,5,0,0,2,2,0,0,1,16,35,3,4,5,3,7,17,1,7,51.28205128205129,37.47540654120227,35.20608583489679,6.41025641025641,25.4333763289556,36,104,114,254,4.74493212836325,4.653960350157523,3.6109179126442243,5.541263545158426,128.09442983075488,4.860544150761859,2,4,1.6094379124341003,0.00035528185693983896,0.007223386882369603,0.016424057031155365,0.4,0.007865674861121297,5.9213116739668365e-05,6,-11.120003,7.421388,4.65808,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3524}, {'feature': 'n_restaurant', 'shap': 1.2893}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7724}]","[{'feature': 'n_cafe', 'shap': 1.3901}, {'feature': 'n_fast_food', 'shap': 1.2335}, {'feature': 'n_pub', 'shap': 0.9316}]","[{'feature': 'n_restaurant', 'shap': 1.1563}, {'feature': 'n_cafe', 'shap': 0.8868}, {'feature': 'n_fast_food', 'shap': 0.529}]","[{'feature': 'n_restaurant', 'shap': 1.224}, {'feature': 'n_cafe', 'shap': 1.036}, {'feature': 'violent_crime_log1p', 'shap': 0.7704}]","[{'feature': 'no_qualifications_perc', 'shap': -0.8089}, {'feature': 'property_crime_log1p', 'shap': 0.4342}, {'feature': 'n_restaurant', 'shap': 0.3994}]","[{'feature': 'n_restaurant', 'shap': 1.0414}, {'feature': 'n_cafe', 'shap': 0.7718}, {'feature': 'n_fast_food', 'shap': 0.6718}]",0.99246585,1,Expansion Opportunity,0.9909949,1,True Positive,0.9555199,1,Expansion Opportunity,0.9942795,1,Expansion Opportunity,0.8171383,1,False Positive (Recommendation),0.9708018,1,False Positive (Recommendation),Expansion Opportunity,0.99246585,1,1,True,False,True,True,False,False,,,,,Viable,Strong Recommend,3.0,0.3520608583489679,356.38813098599695,51.549141319091625,0.025119301164214083
89194ad1393ffff,"POLYGON ((-0.1358523320585457 51.46406614999123, -0.1379422089981564 51.463084865866165, -0.1375084834787355 51.46133708690898, -0.1349850375267531 51.46057061262949, -0.1328952548158393 51.46155187616757, -0.1333288238286023 51.46329963457073, -0.1358523320585457 51.46406614999123))",Lambeth,1889.41796875,5,9,2,12,2,0,2,0,0,0,1,19,27,35,11,6,0,5,13,1,14,67.25823976819993,46.195353373885304,58.28598872897889,6.338283230713507,14.490882651763183,33,242,150,425,5.017279836814924,5.493061443340548,3.5263605246161616,6.054439346269371,137.5132239652096,4.930965800962689,3,3,1.3862943611198906,0.00035528185693983896,0.008421909666030809,0.018517137683475647,0.4,0.007865674861121297,5.9213116739668365e-05,17,-9.349375,5.6161227,3.356801,1,1,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3469}, {'feature': 'n_restaurant', 'shap': 1.1713}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.624}]","[{'feature': 'n_cafe', 'shap': 1.3049}, {'feature': 'n_fast_food', 'shap': 1.1776}, {'feature': 'n_pub', 'shap': 0.8155}]","[{'feature': 'n_restaurant', 'shap': 1.3076}, {'feature': 'n_cafe', 'shap': 0.8219}, {'feature': 'nearby_pub', 'shap': 0.772}]","[{'feature': 'n_restaurant', 'shap': 1.2627}, {'feature': 'n_cafe', 'shap': 0.9652}, {'feature': 'violent_crime_log1p', 'shap': 0.8309}]","[{'feature': 'n_cafe', 'shap': 0.5054}, {'feature': 'property_crime_log1p', 'shap': 0.4617}, {'feature': 'n_restaurant', 'shap': 0.4347}]","[{'feature': 'n_restaurant', 'shap': 1.0223}, {'feature': 'n_cafe', 'shap': 0.753}, {'feature': 'n_fast_food', 'shap': 0.6623}]",0.99414223,1,True Positive,0.9923798,1,True Positive,0.99053544,1,True Positive,0.9913578,1,Expansion Opportunity,0.925076,1,Expansion Opportunity,0.9693168,1,False Positive (Recommendation),True Positive,0.99414223,1,1,False,False,False,True,True,False,,,,,,Prime Location,3.0,0.5828598872897889,1094.265944308927,51.46231838347308,-0.1354186999154406
89194ad346fffff,"POLYGON ((-0.0762998304741858 51.52513066219138, -0.0783918921615391 51.52415176822442, -0.0779597462005286 51.52240505110009, -0.0754356953239885 51.521637248561476, -0.0733437282981738 51.522616122028346, -0.0737757174877707 51.5243628185325, -0.0762998304741858 51.52513066219138))",Hackney,2205.970458984375,10,15,7,25,2,0,0,1,0,0,1,123,216,127,109,14,8,10,25,1,25,70.74148296593188,58.6324658174305,66.28055067449984,3.6072144288577173,10.153692853285577,39,269,108,416,4.6913478822291435,5.598421958998375,3.6888794541139363,6.0330862217988015,98.25843850832527,4.597726938706978,3,4,1.6094379124341003,0.00035528185693983896,0.00854161157374206,0.018854062521452993,0.4,0.007865674861121297,5.9213116739668365e-05,13,-9.29419,8.323627,5.3780394,1,1,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.4027}, {'feature': 'n_restaurant', 'shap': 1.167}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7058}]","[{'feature': 'n_cafe', 'shap': 1.3002}, {'feature': 'n_fast_food', 'shap': 1.1136}, {'feature': 'n_pub', 'shap': 0.979}]","[{'feature': 'n_restaurant', 'shap': 1.3069}, {'feature': 'n_cafe', 'shap': 0.8652}, {'feature': 'nearby_pub', 'shap': 0.8266}]","[{'feature': 'n_restaurant', 'shap': 1.3821}, {'feature': 'n_cafe', 'shap': 1.1975}, {'feature': 'violent_crime_log1p', 'shap': 0.8038}]","[{'feature': 'n_cafe', 'shap': 0.5034}, {'feature': 'property_crime_log1p', 'shap': 0.4405}, {'feature': 'n_restaurant', 'shap': 0.4373}]","[{'feature': 'n_restaurant', 'shap': 1.0553}, {'feature': 'n_cafe', 'shap': 0.8527}, {'feature': 'n_fast_food', 'shap': 0.6587}]",0.99669516,1,True Positive,0.99506843,1,True Positive,0.99152476,1,True Positive,0.9930642,1,True Positive,0.96249944,1,True Positive,0.96660554,1,False Positive (Recommendation),True Positive,0.99669516,1,1,False,False,False,False,False,False,,,,,,Competitive,2.0,0.6628055067449984,1440.1293679316354,51.523383957563446,-0.0758677781408276
89195da490fffff,"POLYGON ((-0.1446114924461737 51.508733564692655, -0.14670300976133 51.50775287800058, -0.1462686447361029 51.50600567548181, -0.1437429191577472 51.50523918015456, -0.1416514961845855 51.50621984623843, -0.1420857044481538 51.50796702825632, -0.1446114924461737 51.508733564692655))",City of Westminster,3639.120849609375,7,19,4,8,0,0,1,0,0,0,1,58,187,64,31,3,3,7,23,1,9,0.0,0.0,0.0,0.0,0.0,41,223,113,377,4.736198448394496,5.4116460518550396,3.7376696182833684,5.934894195619588,94.62469461953204,4.560431098620367,3,6,1.9459101490553132,0.00035528185693983896,0.00861702204014842,0.01906394092641048,0.4,0.007865674861121297,5.9213116739668365e-05,20,-7.7152047,9.663672,5.965319,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3405}, {'feature': 'n_restaurant', 'shap': 1.1951}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7799}]","[{'feature': 'n_cafe', 'shap': 1.3383}, {'feature': 'n_fast_food', 'shap': 1.1327}, {'feature': 'n_pub', 'shap': 0.9311}]","[{'feature': 'n_restaurant', 'shap': 1.2703}, {'feature': 'n_cafe', 'shap': 0.8446}, {'feature': 'nearby_pub', 'shap': 0.7996}]","[{'feature': 'n_restaurant', 'shap': 1.2166}, {'feature': 'n_cafe', 'shap': 1.0325}, {'feature': 'violent_crime_log1p', 'shap': 0.7556}]","[{'feature': 'n_cafe', 'shap': 0.6204}, {'feature': 'n_restaurant', 'shap': 0.4695}, {'feature': 'property_crime_log1p', 'shap': 0.4433}]","[{'feature': 'n_restaurant', 'shap': 1.1098}, {'feature': 'n_cafe', 'shap': 0.8218}, {'feature': 'n_fast_food', 'shap': 0.7556}]",0.9950111,1,True Positive,0.99598086,1,True Positive,0.99325186,1,True Positive,0.98830825,1,True Positive,0.9227986,1,False Positive (Recommendation),0.9656952,1,False Positive (Recommendation),True Positive,0.9950111,1,1,False,False,False,False,False,False,,,,,Strong Recommend,Strong Recommend,1.0,0.0,13.0,51.5069863745946,-0.14417722092177807
89194ada1d3ffff,"POLYGON ((-0.2010704240117012 51.482232788952174, -0.2031610148895943 51.48125039193161, -0.2027249152189523 51.479502613114, -0.2001983813526004 51.47873725172809, -0.1981078845095145 51.47971962805328, -0.1985438274983391 51.481467386458334, -0.2010704240117012 51.482232788952174))",Hammersmith and Fulham,1088.9285888671875,7,7,4,4,1,0,1,0,0,0,0,19,41,23,25,4,3,7,12,0,5,67.3076923076923,48.35998061304658,62.81914172081337,6.931089743589741,9.816263546396502,63,108,72,243,4.290459441148391,4.6913478822291435,4.1588830833596715,5.497168225293202,438.7923341365942,6.086302647629037,2,4,1.6094379124341003,0.00035528185693983896,0.008428041685598905,0.018026866349899747,0.4,0.007865674861121297,5.9213116739668365e-05,10,-3.0404925,10.798822,4.8725142,1,1,1,1,1,0,1,"[{'feature': 'n_restaurant', 'shap': 1.2861}, {'feature': 'n_fast_food', 'shap': 1.2369}, {'feature': 'n_pub', 'shap': 0.5416}]","[{'feature': 'n_cafe', 'shap': 1.2973}, {'feature': 'n_fast_food', 'shap': 1.1338}, {'feature': 'n_pub', 'shap': 0.9476}]","[{'feature': 'n_restaurant', 'shap': 1.27}, {'feature': 'n_cafe', 'shap': 0.7978}, {'feature': 'n_fast_food', 'shap': 0.4197}]","[{'feature': 'n_restaurant', 'shap': 1.2783}, {'feature': 'n_cafe', 'shap': 1.0648}, {'feature': 'violent_crime_log1p', 'shap': 0.6375}]","[{'feature': 'n_cafe', 'shap': 0.5717}, {'feature': 'n_restaurant', 'shap': 0.4371}, {'feature': 'property_crime_log1p', 'shap': 0.431}]","[{'feature': 'n_restaurant', 'shap': 1.0213}, {'feature': 'n_cafe', 'shap': 0.7979}, {'feature': 'n_fast_food', 'shap': 0.5914}]",0.9915069,1,True Positive,0.99339855,1,True Positive,0.9820087,1,True Positive,0.98412466,1,True Positive,0.94287646,1,Expansion Opportunity,0.9656555,1,False Positive (Recommendation),True Positive,0.9915069,1,1,False,False,False,False,True,False,,,,,,Strong Recommend,2.0,0.6281914172081337,639.0555934789317,51.480485022495095,-0.20063441769765883
89194adb463ffff,"POLYGON ((-0.3010221999371755 51.517292956016206, -0.3031141409290529 51.51630898195377, -0.3026743437020407 51.51456130882877, -0.3001427624716533 51.51379762995437, -0.2980509152386858 51.51478158315446, -0.2984905554775361 51.51652923608988, -0.3010221999371755 51.517292956016206))",Ealing,809.79296875,6,8,4,9,0,0,1,0,0,0,1,28,37,10,12,6,2,6,12,1,10,66.12021857923497,38.97878781012517,58.226684822038024,8.743169398907114,13.205121148982457,30,113,90,233,4.51085950651685,4.736198448394496,3.4339872044851463,5.455321115357702,64.02159847836064,4.1747194989839125,1,5,1.791759469228055,0.00035528185693983896,0.006061709550021134,0.01566669269977551,0.4,0.007865674861121297,5.9213116739668365e-05,7,3.0798137,12.99979,-1.4856211,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.311}, {'feature': 'n_restaurant', 'shap': 1.2183}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7291}]","[{'feature': 'n_cafe', 'shap': 1.3358}, {'feature': 'n_fast_food', 'shap': 1.2012}, {'feature': 'n_pub', 'shap': 0.922}]","[{'feature': 'n_restaurant', 'shap': 1.3016}, {'feature': 'n_cafe', 'shap': 0.8531}, {'feature': 'n_fast_food', 'shap': 0.5342}]","[{'feature': 'n_restaurant', 'shap': 1.3156}, {'feature': 'n_cafe', 'shap': 1.0683}, {'feature': 'violent_crime_log1p', 'shap': 0.7127}]","[{'feature': 'n_cafe', 'shap': 0.5428}, {'feature': 'n_restaurant', 'shap': 0.5028}, {'feature': 'property_crime_log1p', 'shap': 0.3783}]","[{'feature': 'n_restaurant', 'shap': 1.1416}, {'feature': 'n_fast_food', 'shap': 0.8165}, {'feature': 'n_cafe', 'shap': 0.8003}]",0.99135697,1,True Positive,0.9939282,1,True Positive,0.97951585,1,Expansion Opportunity,0.9924217,1,Expansion Opportunity,0.9232414,1,False Positive (Recommendation),0.96550083,1,False Positive (Recommendation),True Positive,0.99135697,1,1,False,False,True,True,False,False,,,,,Competitive,Prime Location,2.0,0.5822668482203802,444.51559962508736,51.51554529513007,-0.3005824960567252
89195da4b27ffff,"POLYGON ((-0.1680513343149653 51.49968992069535, -0.1701425388684323 51.4987085585111, -0.16970743861935 51.49696114328002, -0.1671812905564819 51.49619511069438, -0.1650901802239512 51.49717645223391, -0.1655251237337054 51.49892384700236, -0.1680513343149653 51.49968992069535))",Kensington and Chelsea,2072.6708984375,8,11,1,2,1,0,0,0,0,0,0,43,83,13,13,7,5,8,13,0,2,55.64466378778533,28.329756219227026,73.69312847928006,14.929056138186313,6.707958274152883,37,112,61,210,4.127134385045092,4.727387818712341,3.6375861597263857,5.351858133476067,565.3127088373209,6.339146414749139,2,2,1.0986122886681098,0.00035528185693983896,0.008499842780656889,0.018797791887553494,0.4,0.007865674861121297,5.9213116739668365e-05,20,-6.452583,10.308933,6.0251517,1,1,1,1,1,0,1,"[{'feature': 'n_restaurant', 'shap': 1.287}, {'feature': 'n_fast_food', 'shap': 0.7918}, {'feature': 'n_pub', 'shap': 0.4749}]","[{'feature': 'n_cafe', 'shap': 1.3209}, {'feature': 'n_fast_food', 'shap': 1.1262}, {'feature': 'population', 'shap': 0.495}]","[{'feature': 'n_restaurant', 'shap': 1.2445}, {'feature': 'n_cafe', 'shap': 0.8155}, {'feature': 'n_fast_food', 'shap': 0.3941}]","[{'feature': 'n_restaurant', 'shap': 1.2693}, {'feature': 'n_cafe', 'shap': 1.1894}, {'feature': 'violent_crime_log1p', 'shap': 0.3492}]","[{'feature': 'n_cafe', 'shap': 0.6027}, {'feature': 'n_restaurant', 'shap': 0.3931}, {'feature': 'property_crime_log1p', 'shap': 0.3417}]","[{'feature': 'n_restaurant', 'shap': 1.0478}, {'feature': 'n_cafe', 'shap': 0.867}, {'feature': 'n_fast_food', 'shap': 0.3811}]",0.97845215,1,True Positive,0.98951644,1,True Positive,0.9783417,1,Expansion Opportunity,0.9220368,1,True Positive,0.87836796,1,True Positive,0.96422076,1,False Positive (Recommendation),True Positive,0.97845215,1,1,False,False,True,False,False,False,,,,,,Viable,2.0,0.7369312847928007,1472.4160281381953,51.497942517859634,-0.1676163275127575
89195da4917ffff,"POLYGON ((-0.1383367350418721 51.51167524465398, -0.1404283550817121 51.510694748019816, -0.1399941829444551 51.508947609617636, -0.1374685475382183 51.508180988358845, -0.135377021874478 51.50916146439447, -0.1358110372412597 51.510908582286, -0.1383367350418721 51.51167524465398))",City of Westminster,3402.584716796875,12,29,6,9,0,0,3,2,0,0,0,160,519,180,131,11,16,12,37,0,12,72.4409448818898,32.6241134751773,73.2824427480916,11.0236220472441,6.87022900763359,38,491,126,655,4.844187086458591,6.198478716492308,3.6635616461296463,6.486160788944089,233.14803668470202,5.455953550732993,6,8,2.1972245773362196,0.00035528185693983896,0.008668871173746078,0.01909861251647195,0.4,0.007865674861121297,5.9213116739668365e-05,20,-7.844408,9.433677,5.879625,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3869}, {'feature': 'n_restaurant', 'shap': 1.2334}, {'feature': 'n_pub', 'shap': 0.5095}]","[{'feature': 'n_cafe', 'shap': 1.3309}, {'feature': 'n_fast_food', 'shap': 1.0675}, {'feature': 'n_pub', 'shap': 0.9401}]","[{'feature': 'n_restaurant', 'shap': 1.3289}, {'feature': 'n_cafe', 'shap': 0.8393}, {'feature': 'nearby_pub', 'shap': 0.7801}]","[{'feature': 'n_restaurant', 'shap': 1.2503}, {'feature': 'n_cafe', 'shap': 1.0643}, {'feature': 'violent_crime_log1p', 'shap': 0.7838}]","[{'feature': 'n_cafe', 'shap': 0.5266}, {'feature': 'n_restaurant', 'shap': 0.4097}, {'feature': 'property_crime_log1p', 'shap': 0.4034}]","[{'feature': 'n_restaurant', 'shap': 1.1654}, {'feature': 'n_cafe', 'shap': 0.8833}, {'feature': 'n_fast_food', 'shap': 0.6843}]",0.994678,1,True Positive,0.9971277,1,True Positive,0.9934388,1,True Positive,0.99125767,1,True Positive,0.9161929,1,False Positive (Recommendation),0.963216,1,False Positive (Recommendation),True Positive,0.994678,1,1,False,False,False,False,False,False,,,,,Competitive,Competitive,2.0,0.7328244274809159,2498.4971970419842,51.50992811867917,-0.1379026564214433
