h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89194ad0e53ffff,"POLYGON ((-0.0500578722580596 51.42826158573807, -0.0521463690580475 51.42728155593668, -0.0517158536023227 51.42553362019002, -0.0491969975570406 51.42476573499274, -0.0471085951996642 51.42574574435169, -0.0475389544453846 51.42749365934896, -0.0500578722580596 51.42826158573807))",Lewisham,749.3687133789062,0,4,2,7,1,1,3,0,0,0,0,8,5,5,0,2,0,0,7,0,11,62.65088207985146,24.336564108293757,51.68530702897474,14.507892293407638,13.77629487526832,33,75,63,171,4.1588830833596715,4.330733340286331,3.5263605246161616,5.147494476813453,347.46886193123487,5.853548877374401,1,5,1.791759469228055,0.00035528185693983896,0.006882669036026795,0.017135597167556266,0.4,0.007865674861121297,5.9213116739668365e-05,24,-11.372954,1.9045557,-6.5840135,0,1,1,1,1,1,0,"[{'feature': 'n_fast_food', 'shap': 1.4717}, {'feature': 'n_restaurant', 'shap': 1.3608}, {'feature': 'n_bakery', 'shap': 0.5619}]","[{'feature': 'n_fast_food', 'shap': 1.3919}, {'feature': 'n_pub', 'shap': 0.9982}, {'feature': 'n_bakery', 'shap': 0.6354}]","[{'feature': 'n_restaurant', 'shap': 1.0952}, {'feature': 'n_fast_food', 'shap': 0.5241}, {'feature': 'n_cafe', 'shap': -0.3305}]","[{'feature': 'n_restaurant', 'shap': 1.1948}, {'feature': 'n_supermarket', 'shap': 0.5195}, {'feature': 'violent_crime_log1p', 'shap': 0.4835}]","[{'feature': 'n_restaurant', 'shap': 0.4232}, {'feature': 'n_cafe', 'shap': -0.2458}, {'feature': 'property_crime_log1p', 'shap': 0.2446}]","[{'feature': 'n_restaurant', 'shap': 0.9133}, {'feature': 'n_fast_food', 'shap': 0.8616}, {'feature': 'n_cafe', 'shap': -0.6341}]",0.9898347,1,False Positive (Recommendation),0.9580781,1,Expansion Opportunity,0.9178677,1,Expansion Opportunity,0.9573828,1,Expansion Opportunity,0.71358633,1,Expansion Opportunity,0.90454865,1,Expansion Opportunity,False Positive (Recommendation),0.9898347,1,0,False,True,True,True,True,True,Competitive,,,,,,2.0,0.5168530702897474,422.3135202889654,51.42651366253579,-0.049627450167663206
89194ac2643ffff,"POLYGON ((-0.1071528020236466 51.38582615359299, -0.1092398017171795 51.38484411901779, -0.1088076509089941 51.383095387191744, -0.1062886564536819 51.3823287106122, -0.1042017508426675 51.38331072465872, -0.104633745604803 51.38505943581206, -0.1071528020236466 51.38582615359299))",Croydon,1357.832763671875,0,3,0,6,0,1,3,0,0,0,0,7,11,5,17,1,3,0,3,0,10,0.0,0.0,0.0,0.0,0.0,14,85,134,233,4.90527477843843,4.454347296253507,2.70805020110221,5.455321115357702,670.6767740452686,6.5097772338058055,2,2,1.0986122886681098,0.00035528185693983896,0.00468121514326658,0.015438275750692457,0.4,0.007865674861121297,5.9213116739668365e-05,19,-9.3428135,2.2149773,-9.743799,0,1,0,1,0,1,0,"[{'feature': 'n_fast_food', 'shap': 1.6491}, {'feature': 'n_restaurant', 'shap': 1.2685}, {'feature': 'n_bakery', 'shap': 0.6122}]","[{'feature': 'n_fast_food', 'shap': 1.5813}, {'feature': 'n_bakery', 'shap': 0.7675}, {'feature': 'n_cafe', 'shap': -0.5807}]","[{'feature': 'n_restaurant', 'shap': 1.0377}, {'feature': 'n_fast_food', 'shap': 0.4885}, {'feature': 'n_cafe', 'shap': -0.3141}]","[{'feature': 'n_restaurant', 'shap': 1.2187}, {'feature': 'violent_crime_log1p', 'shap': 0.6717}, {'feature': 'n_supermarket', 'shap': 0.504}]","[{'feature': 'n_restaurant', 'shap': 0.5392}, {'feature': 'property_crime_log1p', 'shap': 0.4421}, {'feature': 'population', 'shap': 0.2982}]","[{'feature': 'n_restaurant', 'shap': 1.055}, {'feature': 'n_fast_food', 'shap': 0.969}, {'feature': 'n_cafe', 'shap': -0.6487}]",0.9892018,1,False Positive (Recommendation),0.9256447,1,Expansion Opportunity,0.9089171,1,False Positive (Recommendation),0.95073074,1,True Positive,0.7393898,1,False Positive (Recommendation),0.8696254,1,True Positive,False Positive (Recommendation),0.9892018,1,0,False,True,False,False,False,False,Competitive,,Viable,,Viable,,1.0,0.0,15.0,51.38407743425321,-0.10672074438945034
89195da696fffff,"POLYGON ((-0.0970019441582349 51.54273057734621, -0.0990946683885942 51.54175153973281, -0.0986616786981291 51.54000498418549, -0.0961361216702154 51.539237486815885, -0.0940434920794012 51.54021650389276, -0.0944763248773436 51.54196303887436, -0.0970019441582349 51.54273057734621))",Islington,1233.7689208984375,0,4,1,2,0,0,0,0,0,0,1,42,63,38,20,4,8,0,5,1,2,65.66068515497554,44.44317079562253,62.79122746367407,8.156606851549755,12.107396756036959,35,88,82,205,4.418840607796598,4.48863636973214,3.58351893845611,5.327876168789581,38.56826797999385,3.6780274834005318,2,5,1.791759469228055,0.00035528185693983896,0.008514238320791841,0.01863340335945678,0.4,0.007865674861121297,5.9213116739668365e-05,13,-7.697226,9.614248,5.9440217,0,1,1,1,0,0,0,"[{'feature': 'n_restaurant', 'shap': 1.1314}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.8561}, {'feature': 'n_fast_food', 'shap': 0.6784}]","[{'feature': 'n_fast_food', 'shap': 1.3975}, {'feature': 'n_cafe', 'shap': -0.5005}, {'feature': 'n_pub', 'shap': 0.4732}]","[{'feature': 'n_restaurant', 'shap': 1.0248}, {'feature': 'nearby_pub', 'shap': 0.9248}, {'feature': 'n_fast_food', 'shap': 0.4408}]","[{'feature': 'n_restaurant', 'shap': 1.402}, {'feature': 'violent_crime_log1p', 'shap': 0.7379}, {'feature': 'n_cafe', 'shap': -0.5148}]","[{'feature': 'nearby_gym', 'shap': 0.4005}, {'feature': 'n_restaurant', 'shap': 0.3856}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3193}]","[{'feature': 'n_restaurant', 'shap': 0.8931}, {'feature': 'n_cafe', 'shap': -0.6298}, {'feature': 'n_fast_food', 'shap': 0.4917}]",0.98602456,1,False Positive (Recommendation),0.95449644,1,True Positive,0.9698814,1,True Positive,0.91699743,1,True Positive,0.78380674,1,False Positive (Recommendation),0.7741141,0,True Negative,False Positive (Recommendation),0.98602456,1,0,False,False,False,False,False,False,Competitive,,,,Viable,,2.0,0.6279122746367407,802.6986494974549,51.54098403426815,-0.0965690481252029
89195da4e63ffff,"POLYGON ((-0.1923651128263969 51.540975473156145, -0.1944578473437483 51.539994307213576, -0.194021597944783 51.5382473654885, -0.19149277102298 51.53748161008648, -0.1894001307679472 51.53846275533831, -0.1898362231727455 51.540209676681485, -0.1923651128263969 51.540975473156145))",Camden,1232.01953125,0,2,1,1,0,1,3,1,0,0,1,12,32,12,20,9,2,0,4,1,5,60.3021536483446,38.3900957451046,58.08240234358387,9.868209578913532,13.192312796034269,48,209,102,359,4.634728988229636,5.3471075307174685,3.8918202981106265,5.886104031450156,169.5206615486137,5.13885647148492,2,3,1.3862943611198906,0.00035528185693983896,0.007367147885611175,0.01811318656197394,0.4,0.007865674861121297,5.9213116739668365e-05,9,-4.541286,11.506399,5.8301625,0,1,1,1,0,1,0,"[{'feature': 'n_restaurant', 'shap': 0.8339}, {'feature': 'n_bakery', 'shap': 0.5143}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.4825}]","[{'feature': 'n_fast_food', 'shap': 0.8557}, {'feature': 'n_bakery', 'shap': 0.6689}, {'feature': 'n_cafe', 'shap': -0.5213}]","[{'feature': 'n_restaurant', 'shap': 0.8127}, {'feature': 'n_fast_food', 'shap': 0.356}, {'feature': 'nearby_pub', 'shap': 0.3008}]","[{'feature': 'n_restaurant', 'shap': 1.1047}, {'feature': 'violent_crime_log1p', 'shap': 0.7779}, {'feature': 'n_supermarket', 'shap': 0.5272}]","[{'feature': 'nearby_gym', 'shap': 0.6135}, {'feature': 'property_crime_log1p', 'shap': 0.3833}, {'feature': 'n_restaurant', 'shap': 0.3629}]","[{'feature': 'n_restaurant', 'shap': 0.842}, {'feature': 'n_cafe', 'shap': -0.574}, {'feature': 'property_crime_log1p', 'shap': 0.3814}]",0.98331904,1,False Positive (Recommendation),0.9758288,1,True Positive,0.923344,1,Expansion Opportunity,0.9583581,1,True Positive,0.8937715,1,False Positive (Recommendation),0.87487346,1,Expansion Opportunity,False Positive (Recommendation),0.98331904,1,0,False,False,True,False,False,True,Competitive,,,,Competitive,,2.0,0.5808240234358387,738.586541092161,51.539228543790735,-0.19192895697092477
89195da6aa7ffff,"POLYGON ((-0.1253026315632329 51.5626286594479, -0.127396108719168 51.561649351961385, -0.1269619963940801 51.5599029613357, -0.1244345639487239 51.559135898689654, -0.1223411813882673 51.56011518559046, -0.1227751366780892 51.561861555721585, -0.1253026315632329 51.5626286594479))",Islington,1037.38037109375,0,4,3,2,0,0,1,0,0,0,0,39,28,13,27,6,1,0,7,0,3,65.92885375494068,34.368118961268486,63.78495065118966,10.434782608695674,9.298223752963597,50,151,142,343,4.962844630259907,5.0238805208462765,3.9318256327243257,5.840641657373398,439.201185846051,6.0872318629689035,1,2,1.0986122886681098,0.00035528185693983896,0.007635271301183019,0.018045861730198703,0.4,0.007865674861121297,5.9213116739668365e-05,21,-6.131778,11.014766,6.2007055,0,1,1,1,0,0,0,"[{'feature': 'n_restaurant', 'shap': 1.2754}, {'feature': 'n_fast_food', 'shap': 0.6755}, {'feature': 'n_pub', 'shap': 0.546}]","[{'feature': 'n_fast_food', 'shap': 1.3771}, {'feature': 'n_pub', 'shap': 1.1009}, {'feature': 'n_cafe', 'shap': -0.5112}]","[{'feature': 'n_restaurant', 'shap': 0.9939}, {'feature': 'n_fast_food', 'shap': 0.4448}, {'feature': 'nearby_pub', 'shap': 0.3234}]","[{'feature': 'n_restaurant', 'shap': 1.2841}, {'feature': 'violent_crime_log1p', 'shap': 0.7425}, {'feature': 'n_supermarket', 'shap': 0.6001}]","[{'feature': 'nearby_gym', 'shap': 0.4748}, {'feature': 'n_restaurant', 'shap': 0.3456}, {'feature': 'node2vec_dim2', 'shap': -0.2976}]","[{'feature': 'n_restaurant', 'shap': 0.9228}, {'feature': 'n_cafe', 'shap': -0.5997}, {'feature': 'n_fast_food', 'shap': 0.4571}]",0.9822175,1,False Positive (Recommendation),0.9753793,1,True Positive,0.91892,1,Expansion Opportunity,0.9366168,1,True Positive,0.7389982,1,False Positive (Recommendation),0.90937877,1,False Positive (Recommendation),False Positive (Recommendation),0.9822175,1,0,False,False,True,False,False,False,Competitive,,,,Competitive,Strong Recommend,2.0,0.6378495065118966,696.6925577672766,51.5608822812551,-0.12486861292366414
89195da4067ffff,"POLYGON ((-0.1985640202822855 51.57514341179468, -0.2006580124406891 51.57416271503261, -0.2002212888781499 51.57241621935972, -0.197690730346975 51.571650440789526, -0.1955968325395575 51.572631116845166, -0.1960333989126755 51.574377592176006, -0.1985640202822855 51.57514341179468))",Barnet,615.9187622070312,0,6,1,2,0,2,0,0,0,0,0,6,12,0,1,1,2,0,7,0,4,58.156642146257035,31.957877106292198,53.61351332488321,8.740804846386846,15.917936662913021,49,151,160,360,5.081404364984463,5.0238805208462765,3.912023005428146,5.8888779583328805,289.62602822949106,5.67203731432931,2,4,1.6094379124341003,0.00035528185693983896,0.006084567036723571,0.016980052570401093,0.4,0.007865674861121297,5.9213116739668365e-05,21,-4.128894,11.883645,5.7584333,0,1,1,1,0,1,0,"[{'feature': 'n_restaurant', 'shap': 1.361}, {'feature': 'n_fast_food', 'shap': 0.8774}, {'feature': 'n_bakery', 'shap': 0.5513}]","[{'feature': 'n_fast_food', 'shap': 1.4554}, {'feature': 'n_bakery', 'shap': 0.7256}, {'feature': 'n_cafe', 'shap': -0.519}]","[{'feature': 'n_restaurant', 'shap': 1.1338}, {'feature': 'n_fast_food', 'shap': 0.5259}, {'feature': 'bus_stop_count_log', 'shap': 0.3417}]","[{'feature': 'n_restaurant', 'shap': 1.3908}, {'feature': 'violent_crime_log1p', 'shap': 0.6604}, {'feature': 'n_cafe', 'shap': -0.515}]","[{'feature': 'n_restaurant', 'shap': 0.4769}, {'feature': 'property_crime_log1p', 'shap': 0.3736}, {'feature': 'n_bakery', 'shap': -0.2826}]","[{'feature': 'n_restaurant', 'shap': 1.1334}, {'feature': 'n_cafe', 'shap': -0.6092}, {'feature': 'n_fast_food', 'shap': 0.5618}]",0.98174435,1,False Positive (Recommendation),0.9698378,1,Expansion Opportunity,0.8907272,1,Expansion Opportunity,0.9619981,1,Expansion Opportunity,0.5790256,0,True Negative,0.8979049,1,Expansion Opportunity,False Positive (Recommendation),0.98174435,1,0,False,True,True,True,False,True,Competitive,,,,,,3.0,0.5361351332488321,365.21568764632246,51.57339692846789,-0.19812739035932292
89195da6267ffff,"POLYGON ((-0.1753480842671494 51.613310604449424, -0.1774434615302188 51.6123310952312, -0.17700724336882 51.6105852125211, -0.1744758053178063 51.60981885938381, -0.1723805226230121 51.61079834792673, -0.1728165834113127 51.612544210280824, -0.1753480842671494 51.613310604449424))",Barnet,692.2504272460938,0,3,3,4,1,0,2,1,0,0,0,19,21,4,11,7,1,0,8,0,6,0.0,0.0,0.0,0.0,0.0,14,46,51,111,3.9512437185814275,3.8501476017100584,2.70805020110221,4.718498871295094,959.2893163441307,6.867234610250509,0,9,2.302585092994046,0.00035528185693983896,0.003753237330194812,0.015519065271072321,0.4,0.007865674861121297,5.9213116739668365e-05,8,-0.9093469,12.872453,4.0312524,0,1,1,1,1,0,0,"[{'feature': 'n_restaurant', 'shap': 1.263}, {'feature': 'n_fast_food', 'shap': 1.2113}, {'feature': 'n_pub', 'shap': 0.452}]","[{'feature': 'n_fast_food', 'shap': 1.4309}, {'feature': 'n_pub', 'shap': 1.1058}, {'feature': 'n_cafe', 'shap': -0.507}]","[{'feature': 'n_restaurant', 'shap': 1.0331}, {'feature': 'n_fast_food', 'shap': 0.4217}, {'feature': 'n_cafe', 'shap': -0.2965}]","[{'feature': 'n_restaurant', 'shap': 1.1937}, {'feature': 'n_supermarket', 'shap': 0.6203}, {'feature': 'bus_stop_count_log', 'shap': 0.6164}]","[{'feature': 'nearby_gym', 'shap': 0.5098}, {'feature': 'n_restaurant', 'shap': 0.4036}, {'feature': 'n_office', 'shap': 0.254}]","[{'feature': 'n_restaurant', 'shap': 0.9773}, {'feature': 'n_fast_food', 'shap': 0.914}, {'feature': 'n_cafe', 'shap': -0.6147}]",0.9804952,1,False Positive (Recommendation),0.97939074,1,Expansion Opportunity,0.8230175,1,Expansion Opportunity,0.9518435,1,Expansion Opportunity,0.8109665,1,True Positive,0.8170889,0,True Negative,False Positive (Recommendation),0.9804952,1,0,False,True,True,True,False,False,Competitive,,,,,,1.0,0.0,40.0,51.61156473410493,-0.1749119598875487
89194ac2283ffff,"POLYGON ((-0.0986603719011113 51.37030236477974, -0.1007467993092282 51.369320243187786, -0.1003150561480514 51.36757133402055, -0.0977970415307044 51.36680456714549, -0.0957107081869515 51.36778666822478, -0.0961422953965632 51.36953555669039, -0.0986603719011113 51.37030236477974))",Croydon,1234.5445556640625,0,9,2,2,0,1,0,0,0,0,0,35,36,27,83,7,1,0,11,0,3,0.0,0.0,0.0,0.0,0.0,17,67,96,180,4.574710978503383,4.219507705176107,2.8903717578961645,5.198497031265826,712.8968111995188,6.570738429765729,1,4,1.6094379124341003,0.00035528185693983896,0.0037254536484761756,0.014711788911369133,0.4,0.007865674861121297,5.9213116739668365e-05,19,-8.697961,2.426447,-10.38436,0,1,1,1,0,1,0,"[{'feature': 'n_restaurant', 'shap': 1.3156}, {'feature': 'n_fast_food', 'shap': 0.8023}, {'feature': 'n_bakery', 'shap': 0.5499}]","[{'feature': 'n_fast_food', 'shap': 1.4406}, {'feature': 'n_pub', 'shap': 1.0603}, {'feature': 'n_bakery', 'shap': 0.714}]","[{'feature': 'n_restaurant', 'shap': 1.2103}, {'feature': 'nearby_pub', 'shap': 0.5909}, {'feature': 'n_fast_food', 'shap': 0.3651}]","[{'feature': 'n_restaurant', 'shap': 1.4546}, {'feature': 'violent_crime_log1p', 'shap': 0.6607}, {'feature': 'n_cafe', 'shap': -0.5072}]","[{'feature': 'n_restaurant', 'shap': 0.4656}, {'feature': 'nearby_gym', 'shap': 0.4379}, {'feature': 'n_pub', 'shap': 0.2068}]","[{'feature': 'n_restaurant', 'shap': 1.1886}, {'feature': 'n_cafe', 'shap': -0.6339}, {'feature': 'n_fast_food', 'shap': 0.5731}]",0.9804319,1,False Positive (Recommendation),0.97425145,1,True Positive,0.9452006,1,True Positive,0.9760124,1,True Positive,0.74161893,1,False Positive (Recommendation),0.8669158,1,Expansion Opportunity,False Positive (Recommendation),0.9804319,1,0,False,False,False,False,False,True,Competitive,,,,Competitive,,1.0,0.0,55.0,51.3685534681113,-0.09822872187701592
89194ada29bffff,"POLYGON ((-0.2465700767041555 51.496002686300265, -0.2486612032463576 51.49501953249555, -0.2482234377949806 51.49327177074698, -0.2456947026112394 51.49250718311458, -0.2436036699714506 51.49349031614822, -0.2440412786133332 51.495238057583904, -0.2465700767041555 51.496002686300265))",Hounslow,768.1658935546875,0,3,1,0,0,1,0,0,0,0,1,19,37,11,5,4,2,0,4,1,1,68.78881987577637,30.95777231230982,63.12973403408187,8.07453416149068,5.308010829749959,22,88,42,152,3.7612001156935624,4.48863636973214,3.1354942159291497,5.030437921392435,81.24269378265052,4.40967455630965,3,6,1.9459101490553132,0.00035528185693983896,0.00794799193377221,0.017141198218287506,0.4,0.007865674861121297,5.9213116739668365e-05,10,1.3535303,12.410038,1.5140257,0,1,1,0,0,1,0,"[{'feature': 'n_restaurant', 'shap': 1.2732}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.9578}, {'feature': 'n_bakery', 'shap': 0.5458}]","[{'feature': 'n_bakery', 'shap': 0.7608}, {'feature': 'n_cafe', 'shap': -0.6026}, {'feature': 'n_pub', 'shap': 0.5651}]","[{'feature': 'n_restaurant', 'shap': 0.9604}, {'feature': 'nearby_pub', 'shap': 0.3542}, {'feature': 'n_cafe', 'shap': -0.2555}]","[{'feature': 'n_restaurant', 'shap': 1.3111}, {'feature': 'bus_stop_count_log', 'shap': 0.5175}, {'feature': 'n_cafe', 'shap': -0.4822}]","[{'feature': 'n_restaurant', 'shap': 0.393}, {'feature': 'nearby_gym', 'shap': 0.3924}, {'feature': 'property_crime_log1p', 'shap': 0.3262}]","[{'feature': 'n_restaurant', 'shap': 1.1398}, {'feature': 'n_cafe', 'shap': -0.6743}, {'feature': 'n_fast_food', 'shap': -0.3548}]",0.9796673,1,False Positive (Recommendation),0.92371595,1,True Positive,0.8896605,1,Expansion Opportunity,0.9137923,1,False Positive (Recommendation),0.8128604,1,False Positive (Recommendation),0.76930827,0,False Negative,False Positive (Recommendation),0.9796673,1,0,False,False,True,False,False,False,Competitive,,,Viable,Viable,,2.0,0.6312973403408187,507.9410855416027,51.49425493685725,-0.2461324045984534
89194ad228fffff,"POLYGON ((-0.0190776583837601 51.50124125963289, -0.0211687943866907 51.500263201564955, -0.0207387913868724 51.49851637900668, -0.0182178089568701 51.497747635265426, -0.0161267677576553 51.498725672930014, -0.0165566141851595 51.5004724747378, -0.0190776583837601 51.50124125963289))",Tower Hamlets,2379.8720703125,0,4,0,4,3,0,0,2,0,0,0,43,77,23,78,9,6,0,9,0,4,71.72428068722832,55.83515278179958,72.36392163014344,1.7801697371144682,6.463115825203595,50,113,124,287,4.8283137373023015,4.736198448394496,3.9318256327243257,5.662960480135946,176.86939751061996,5.18104955913602,6,2,1.0986122886681098,0.00035528185693983896,0.008211857933358444,0.018178412472347673,0.4,0.007865674861121297,5.9213116739668365e-05,13,-11.6768,5.1937118,2.4617455,0,1,0,1,1,0,0,"[{'feature': 'n_restaurant', 'shap': 1.1507}, {'feature': 'n_fast_food', 'shap': 1.1089}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3748}]","[{'feature': 'n_fast_food', 'shap': 1.4837}, {'feature': 'population', 'shap': 0.5895}, {'feature': 'n_cafe', 'shap': -0.5712}]","[{'feature': 'n_restaurant', 'shap': 0.9903}, {'feature': 'nearby_pub', 'shap': 0.4965}, {'feature': 'n_fast_food', 'shap': 0.4498}]","[{'feature': 'n_restaurant', 'shap': 1.4225}, {'feature': 'violent_crime_log1p', 'shap': 0.7333}, {'feature': 'n_cafe', 'shap': -0.5462}]","[{'feature': 'nearby_gym', 'shap': 0.5874}, {'feature': 'n_restaurant', 'shap': 0.4231}, {'feature': 'property_crime_log1p', 'shap': 0.4192}]","[{'feature': 'n_restaurant', 'shap': 0.792}, {'feature': 'n_fast_food', 'shap': 0.7318}, {'feature': 'n_cafe', 'shap': -0.6733}]",0.97946715,1,False Positive (Recommendation),0.9438295,1,True Positive,0.9251363,1,False Positive (Recommendation),0.8982179,1,True Positive,0.93403274,1,True Positive,0.7612837,0,True Negative,False Positive (Recommendation),0.97946715,1,0,False,False,False,False,False,False,Competitive,,Competitive,,,,2.0,0.7236392163014344,1767.1687598586095,51.499494449641375,-0.01864774900366125
