h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89194ad229bffff,"POLYGON ((-0.020367641719526 51.50648152996754, -0.022458970770046 51.50550353626293, -0.0220288840755947 51.503756780196206, -0.0195076249336425 51.50298803857642, -0.0174163906992233 51.50396601187479, -0.0178463207911103 51.50571274719776, -0.020367641719526 51.50648152996754))",Tower Hamlets,12822.93359375,9,19,6,33,0,1,1,1,0,0,2,35,75,20,44,17,4,9,26,2,35,70.0949621760824,49.44169611307421,67.7512886597938,3.81458232737808,8.82731958762887,23,220,88,331,4.48863636973214,5.3981627015177525,3.1780538303479458,5.805134968916488,83.68358380129617,4.4389217670680585,8,3,1.3862943611198906,0.00035528185693983896,0.00856782862376713,0.018192768422212763,0.4,0.007865674861121297,5.9213116739668365e-05,13,-11.47171,5.7019844,3.0756512,1,1,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.2228}, {'feature': 'n_restaurant', 'shap': 1.2148}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.6796}]","[{'feature': 'n_cafe', 'shap': 1.3143}, {'feature': 'n_fast_food', 'shap': 1.0495}, {'feature': 'n_pub', 'shap': 0.8753}]","[{'feature': 'n_restaurant', 'shap': 1.275}, {'feature': 'n_cafe', 'shap': 0.8706}, {'feature': 'n_fast_food', 'shap': 0.5298}]","[{'feature': 'n_restaurant', 'shap': 1.2387}, {'feature': 'n_cafe', 'shap': 1.043}, {'feature': 'violent_crime_log1p', 'shap': 0.811}]","[{'feature': 'n_cafe', 'shap': 0.5381}, {'feature': 'n_restaurant', 'shap': 0.4472}, {'feature': 'property_crime_log1p', 'shap': 0.442}]","[{'feature': 'n_restaurant', 'shap': 1.0597}, {'feature': 'n_cafe', 'shap': 0.8895}, {'feature': 'n_fast_food', 'shap': 0.61}]",0.99466854,1,True Positive,0.9944722,1,True Positive,0.98753333,1,True Positive,0.99407214,1,True Positive,0.96871907,1,False Positive (Recommendation),0.9660718,1,True Positive,True Positive,0.99466854,1,1,False,False,False,False,False,False,,,,,Competitive,,2.0,0.677512886597938,8688.702753755233,51.504734786465114,-0.019937648659164843
89194ad2283ffff,"POLYGON ((-0.0174163906992233 51.50396601187479, -0.0195076249336425 51.50298803857642, -0.0190776583837601 51.50124125963289, -0.0165566141851595 51.5004724747378, -0.0144654747699136 51.50145042763506, -0.0148952847345243 51.50319718582712, -0.0174163906992233 51.50396601187479))",Tower Hamlets,4320.419921875,4,16,2,6,0,1,1,1,0,0,0,41,74,25,70,15,4,4,19,0,8,75.1937984496124,59.1324200913242,84.1558441558442,1.03359173126615,2.33766233766234,24,71,56,151,4.04305126783455,4.276666119016055,3.2188758248682006,5.0238805208462765,182.72318595310625,5.21343020065878,8,1,0.6931471805599453,0.00035528185693983896,0.008363380815351287,0.018140604249080018,0.4,0.007865674861121297,5.9213116739668365e-05,13,-11.580029,5.3642726,2.685228,1,1,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.2893}, {'feature': 'n_restaurant', 'shap': 1.251}, {'feature': 'n_bakery', 'shap': 0.6183}]","[{'feature': 'n_cafe', 'shap': 1.3346}, {'feature': 'n_fast_food', 'shap': 1.0928}, {'feature': 'n_pub', 'shap': 0.7771}]","[{'feature': 'n_restaurant', 'shap': 1.3045}, {'feature': 'n_cafe', 'shap': 0.7537}, {'feature': 'n_fast_food', 'shap': 0.4791}]","[{'feature': 'n_restaurant', 'shap': 1.3242}, {'feature': 'n_cafe', 'shap': 0.8938}, {'feature': 'n_supermarket', 'shap': 0.4117}]","[{'feature': 'n_cafe', 'shap': 0.5287}, {'feature': 'nearby_gym', 'shap': 0.4666}, {'feature': 'n_restaurant', 'shap': 0.4366}]","[{'feature': 'n_restaurant', 'shap': 1.0807}, {'feature': 'n_cafe', 'shap': 0.8645}, {'feature': 'n_fast_food', 'shap': 0.5354}]",0.9939745,1,True Positive,0.99402773,1,True Positive,0.9828159,1,True Positive,0.9851906,1,True Positive,0.95644194,1,False Positive (Recommendation),0.95356655,1,True Positive,True Positive,0.9939745,1,1,False,False,False,False,False,False,,,,,Competitive,,1.0,0.8415584415584421,3670.885856331171,51.50221924549942,-0.01698651777913588
89194ad300bffff,"POLYGON ((-0.0829386849054983 51.51422744731882, -0.0850303528661195 51.51324821428462, -0.08459806169456 51.511501322590675, -0.082074259282182 51.510733684545635, -0.0799826859212344 51.511712897070694, -0.0804148203733824 51.513459768148515, -0.0829386849054983 51.51422744731882))",City of London,6013.22900390625,11,18,13,20,0,0,0,4,0,0,0,143,185,154,156,31,6,11,35,0,20,83.1223628691983,58.893280632411106,81.3278008298755,0.421940928270042,5.80912863070539,20,135,76,231,4.343805421853684,4.912654885736052,3.044522437723423,5.44673737166631,324.6673939705469,5.785876596649191,13,4,1.6094379124341003,0.00035528185693983896,0.008609002165261795,0.01903355620592856,0.4,0.007865674861121297,5.9213116739668365e-05,13,-9.810279,7.968884,5.1298747,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.5563}, {'feature': 'n_restaurant', 'shap': 1.312}, {'feature': 'n_pub', 'shap': 0.4995}]","[{'feature': 'n_cafe', 'shap': 1.3348}, {'feature': 'n_fast_food', 'shap': 1.1332}, {'feature': 'n_pub', 'shap': 1.0131}]","[{'feature': 'n_restaurant', 'shap': 1.3588}, {'feature': 'n_cafe', 'shap': 0.8513}, {'feature': 'nearby_pub', 'shap': 0.8498}]","[{'feature': 'n_restaurant', 'shap': 1.3569}, {'feature': 'n_cafe', 'shap': 1.1997}, {'feature': 'violent_crime_log1p', 'shap': 0.6531}]","[{'feature': 'n_cafe', 'shap': 0.5334}, {'feature': 'n_restaurant', 'shap': 0.4394}, {'feature': 'property_crime_log1p', 'shap': 0.4285}]","[{'feature': 'n_restaurant', 'shap': 1.1836}, {'feature': 'n_cafe', 'shap': 0.9141}, {'feature': 'n_fast_food', 'shap': 0.684}]",0.9920963,1,True Positive,0.99278283,1,True Positive,0.99499965,1,True Positive,0.9912039,1,True Positive,0.9559758,1,False Positive (Recommendation),0.8986104,1,False Positive (Recommendation),True Positive,0.9920963,1,1,False,False,False,False,False,False,,,,,Competitive,Competitive,2.0,0.813278008298755,4900.426907741181,51.51248056811561,-0.08250648732118407
89194ad33c3ffff,"POLYGON ((-0.0941904270902169 51.50311003613135, -0.0962816975371722 51.5021303588409, -0.0958491046120172 51.50038327206749, -0.093325397911998 51.49961588318644, -0.0912342219842642 51.50059553995129, -0.0916666582377256 51.50234260612139, -0.0941904270902169 51.50311003613135))",Southwark,1699.5234375,6,3,3,4,0,2,0,6,2,0,1,70,104,68,55,17,10,6,14,1,6,68.87921653971708,47.463573266526325,62.82961631910267,5.8759521218715935,10.11336959618829,65,108,89,262,4.499809670330265,4.6913478822291435,4.189654742026425,5.572154032177765,40.43382398521841,3.724097551738659,4,6,1.9459101490553132,0.00035528185693983896,0.008693203667062065,0.019139569534481652,0.4,0.007865674861121297,5.9213116739668365e-05,20,-10.223831,7.6689086,4.927233,1,1,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.1814}, {'feature': 'n_restaurant', 'shap': 1.096}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.6803}]","[{'feature': 'n_cafe', 'shap': 1.2637}, {'feature': 'n_fast_food', 'shap': 1.0733}, {'feature': 'n_pub', 'shap': 0.8954}]","[{'feature': 'n_restaurant', 'shap': 0.9705}, {'feature': 'n_cafe', 'shap': 0.7857}, {'feature': 'nearby_pub', 'shap': 0.7697}]","[{'feature': 'n_restaurant', 'shap': 1.1695}, {'feature': 'n_cafe', 'shap': 1.0921}, {'feature': 'violent_crime_log1p', 'shap': 0.8132}]","[{'feature': 'n_cafe', 'shap': 0.5066}, {'feature': 'nearby_gym', 'shap': 0.4613}, {'feature': 'property_crime_log1p', 'shap': 0.4179}]","[{'feature': 'n_cafe', 'shap': 0.945}, {'feature': 'n_restaurant', 'shap': 0.7056}, {'feature': 'n_fast_food', 'shap': 0.6149}]",0.99539787,1,True Positive,0.99306667,1,True Positive,0.99079597,1,True Positive,0.99295664,1,True Positive,0.9557393,1,False Positive (Recommendation),0.9175338,1,True Positive,True Positive,0.99539787,1,1,False,False,False,False,False,False,,,,,Competitive,,2.0,0.6282961631910267,1050.8040550344747,51.5013629618378,-0.09375792770607166
89194adad9bffff,"POLYGON ((-0.1520549821838679 51.44474428310815, -0.1541441664505056 51.44376230121752, -0.1537100321678224 51.44201419722415, -0.1511868700387945 51.44124809565809, -0.1490977798743853 51.44223005693846, -0.1495317577371476 51.443978140393725, -0.1520549821838679 51.44474428310815))",Wandsworth,1368.3739013671875,8,11,6,5,0,0,2,0,0,0,2,9,17,8,7,6,0,8,17,2,7,86.85092127303183,63.86463684134854,81.33550113259652,4.606365159128977,4.286932718871418,34,200,97,331,4.584967478670572,5.303304908059076,3.5553480614894135,5.805134968916488,22.398354949408482,3.152665718585073,2,5,1.791759469228055,0.00035528185693983896,0.007646974164656543,0.017747890884224224,0.4,0.007865674861121297,5.9213116739668365e-05,17,-0.6425381,0.3079078,-0.4022117,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3327}, {'feature': 'n_restaurant', 'shap': 1.2931}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7784}]","[{'feature': 'n_cafe', 'shap': 1.2801}, {'feature': 'n_fast_food', 'shap': 1.1523}, {'feature': 'n_pub', 'shap': 0.979}]","[{'feature': 'n_restaurant', 'shap': 1.3045}, {'feature': 'n_cafe', 'shap': 0.9474}, {'feature': 'n_fast_food', 'shap': 0.5673}]","[{'feature': 'n_restaurant', 'shap': 1.2114}, {'feature': 'n_cafe', 'shap': 1.0713}, {'feature': 'violent_crime_log1p', 'shap': 0.7398}]","[{'feature': 'n_cafe', 'shap': 0.5525}, {'feature': 'property_crime_log1p', 'shap': 0.4602}, {'feature': 'n_restaurant', 'shap': 0.4185}]","[{'feature': 'n_restaurant', 'shap': 1.083}, {'feature': 'n_cafe', 'shap': 0.8493}, {'feature': 'employed_total_perc', 'shap': -0.69}]",0.9888388,1,Expansion Opportunity,0.99135333,1,Expansion Opportunity,0.9828135,1,Expansion Opportunity,0.99428517,1,Expansion Opportunity,0.9556495,1,False Positive (Recommendation),0.84029883,0,True Negative,Expansion Opportunity,0.9888388,1,1,True,True,True,True,False,False,,,,,Competitive,,2.0,0.8133550113259652,1083.973770044664,51.44299619153865,-0.15162094120107494
89194e69a2bffff,"POLYGON ((-0.055442191004377 51.54462628044366, -0.0575349492982638 51.54364819060054, -0.0571033714861544 51.54190182046089, -0.0545791922343933 51.541133560807694, -0.0524865287476158 51.54211163018143, -0.0529179497059099 51.54385797967631, -0.055442191004377 51.54462628044366))",Hackney,1781.5302734375,3,6,2,1,0,0,1,1,0,1,0,33,30,30,48,14,5,3,10,0,2,69.19881305637979,49.57504985084072,61.658364797631165,3.2640949554896155,10.150851938103418,46,183,136,365,4.919980925828125,5.214935757608986,3.8501476017100584,5.902633333401366,279.4463869612052,5.636382572866207,3,6,1.9459101490553132,0.00035528185693983896,0.00833378795086233,0.018186909710829258,0.4,0.007865674861121297,5.9213116739668365e-05,13,-8.86837,8.972125,5.7297993,1,1,1,1,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.162}, {'feature': 'n_fast_food', 'shap': 0.484}, {'feature': 'n_pub', 'shap': 0.3831}]","[{'feature': 'n_cafe', 'shap': 1.2207}, {'feature': 'n_pub', 'shap': 0.8395}, {'feature': 'n_fast_food', 'shap': 0.6643}]","[{'feature': 'n_restaurant', 'shap': 1.0964}, {'feature': 'nearby_pub', 'shap': 0.6185}, {'feature': 'n_cafe', 'shap': 0.572}]","[{'feature': 'n_restaurant', 'shap': 1.2511}, {'feature': 'n_cafe', 'shap': 0.9751}, {'feature': 'violent_crime_log1p', 'shap': 0.7681}]","[{'feature': 'n_cafe', 'shap': 0.4839}, {'feature': 'nearby_gym', 'shap': 0.4502}, {'feature': 'n_restaurant', 'shap': 0.4361}]","[{'feature': 'n_restaurant', 'shap': 0.8867}, {'feature': 'n_cafe', 'shap': 0.3661}, {'feature': 'property_crime_log1p', 'shap': 0.3205}]",0.98772895,1,True Positive,0.98877805,1,True Positive,0.97730416,1,True Positive,0.9907032,1,True Positive,0.95458615,1,False Positive (Recommendation),0.8826282,1,False Positive (Recommendation),True Positive,0.98772895,1,1,False,False,False,False,False,False,,,,,Competitive,Viable,2.0,0.6165836479763116,1103.4624349763296,51.542879922820795,-0.05501070690233028
89194ad3087ffff,"POLYGON ((-0.0674325305091075 51.517586842079325, -0.0695243082024624 51.51660800959703, -0.0690925235058208 51.514861223414535, -0.0665691178357574 51.514093290356364, -0.0644774348132983 51.51507210235416, -0.0649090627904424 51.516818867893164, -0.0674325305091075 51.517586842079325))",Tower Hamlets,3017.7080078125,6,8,2,1,0,0,1,3,0,1,0,92,130,46,78,17,5,6,14,0,2,55.67826630548028,57.598982465122894,56.42157987239733,3.257623115926926,11.298137292192141,75,205,137,417,4.927253685157205,5.327876168789581,4.330733340286331,6.035481432524756,267.5294162702951,5.592960465751608,5,4,1.6094379124341003,0.00035528185693983896,0.008552729260908522,0.018858652866338366,0.4,0.007865674861121297,5.9213116739668365e-05,13,-10.086397,7.853806,5.047574,1,1,1,1,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.1913}, {'feature': 'n_fast_food', 'shap': 0.4806}, {'feature': 'n_pub', 'shap': 0.3662}]","[{'feature': 'n_cafe', 'shap': 1.3829}, {'feature': 'n_pub', 'shap': 0.8316}, {'feature': 'n_fast_food', 'shap': 0.6478}]","[{'feature': 'n_restaurant', 'shap': 1.2952}, {'feature': 'nearby_pub', 'shap': 0.8657}, {'feature': 'n_cafe', 'shap': 0.861}]","[{'feature': 'n_restaurant', 'shap': 1.2773}, {'feature': 'n_cafe', 'shap': 1.0592}, {'feature': 'violent_crime_log1p', 'shap': 0.7956}]","[{'feature': 'n_cafe', 'shap': 0.4844}, {'feature': 'nearby_gym', 'shap': 0.4469}, {'feature': 'property_crime_log1p', 'shap': 0.44}]","[{'feature': 'n_restaurant', 'shap': 1.0344}, {'feature': 'n_cafe', 'shap': 0.8298}, {'feature': 'no_qualifications_perc', 'shap': -0.2855}]",0.9897713,1,True Positive,0.9882578,1,True Positive,0.99083674,1,True Positive,0.994131,1,True Positive,0.9544555,1,False Positive (Recommendation),0.85671896,1,False Positive (Recommendation),True Positive,0.9897713,1,1,False,False,False,False,False,False,,,,,Competitive,Viable,2.0,0.5642157987239733,1682.63853394366,51.515840068404806,-0.06700083942733191
89194ad36a7ffff,"POLYGON ((-0.0838729056820353 51.52743393673717, -0.0859650582120925 51.52645491697619, -0.0855326349920735 51.52470820229288, -0.0830082160354393 51.52394052797269, -0.0809161581451784 51.52491952722091, -0.0813484245721625 51.52666622130063, -0.0838729056820353 51.52743393673717))",Hackney,3129.99560546875,10,18,12,9,0,0,0,15,0,0,0,83,130,98,98,19,6,10,45,0,9,62.553191489361716,51.92439878409174,58.60884445385025,3.97163120567376,11.585139632612696,52,365,213,630,5.365976015021851,5.902633333401366,3.970291913552122,6.447305862541213,289.3516511063604,5.671092778408952,2,5,1.791759469228055,0.00035528185693983896,0.008667435046240797,0.018882187116830755,0.4,0.007865674861121297,5.9213116739668365e-05,13,-9.106734,8.774928,5.623126,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.5213}, {'feature': 'n_restaurant', 'shap': 1.3156}, {'feature': 'n_pub', 'shap': 0.5102}]","[{'feature': 'n_cafe', 'shap': 1.3492}, {'feature': 'n_fast_food', 'shap': 1.1518}, {'feature': 'n_pub', 'shap': 1.0066}]","[{'feature': 'n_restaurant', 'shap': 1.3006}, {'feature': 'n_cafe', 'shap': 0.861}, {'feature': 'nearby_pub', 'shap': 0.8409}]","[{'feature': 'n_restaurant', 'shap': 1.3845}, {'feature': 'n_cafe', 'shap': 1.1784}, {'feature': 'violent_crime_log1p', 'shap': 0.807}]","[{'feature': 'n_cafe', 'shap': 0.5094}, {'feature': 'n_restaurant', 'shap': 0.4924}, {'feature': 'nearby_gym', 'shap': 0.4491}]","[{'feature': 'n_restaurant', 'shap': 1.0818}, {'feature': 'n_cafe', 'shap': 0.8839}, {'feature': 'n_fast_food', 'shap': 0.723}]",0.99553263,1,True Positive,0.9933683,1,True Positive,0.99266666,1,True Positive,0.9923063,1,True Positive,0.95235276,1,False Positive (Recommendation),0.943248,1,False Positive (Recommendation),True Positive,0.99553263,1,1,False,False,False,False,False,False,,,,,Competitive,Competitive,2.0,0.5860884445385025,1909.454255821528,51.52568723454107,-0.08344057608808503
89194ad329bffff,"POLYGON ((-0.1056589848819464 51.52113463623247, -0.107750924859758 51.52015502574154, -0.107317801943532 51.518408141435565, -0.1047928958339991 51.51764088818552, -0.1027010503905834 51.51862047812934, -0.103134016522715 51.52036734186887, -0.1056589848819464 51.52113463623247))",Islington,2873.14990234375,9,8,9,7,0,0,0,5,0,0,1,105,134,106,83,6,5,9,22,1,7,57.43589743589742,63.7114325001434,64.12675422916132,3.2051282051282035,3.212023323553875,20,167,55,242,4.02535169073515,5.123963979403259,3.044522437723423,5.493061443340548,79.2282428539104,4.384875608166015,5,5,1.791759469228055,0.00035528185693983896,0.00862320915906708,0.019083546808386594,0.4,0.007865674861121297,5.9213116739668365e-05,13,-8.720611,8.867858,5.6633863,1,1,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.3863}, {'feature': 'n_restaurant', 'shap': 1.1922}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7477}]","[{'feature': 'n_cafe', 'shap': 1.3492}, {'feature': 'n_fast_food', 'shap': 1.1194}, {'feature': 'n_pub', 'shap': 0.9977}]","[{'feature': 'n_restaurant', 'shap': 1.3268}, {'feature': 'n_cafe', 'shap': 0.8917}, {'feature': 'nearby_pub', 'shap': 0.8675}]","[{'feature': 'n_restaurant', 'shap': 1.3541}, {'feature': 'n_cafe', 'shap': 1.163}, {'feature': 'n_pub', 'shap': 0.4349}]","[{'feature': 'n_cafe', 'shap': 0.5592}, {'feature': 'property_crime_log1p', 'shap': 0.4755}, {'feature': 'n_restaurant', 'shap': 0.4754}]","[{'feature': 'n_restaurant', 'shap': 1.0887}, {'feature': 'n_cafe', 'shap': 0.8879}, {'feature': 'n_fast_food', 'shap': 0.577}]",0.9956708,1,True Positive,0.9955272,1,True Positive,0.9928053,1,True Positive,0.9868973,1,True Positive,0.951123,1,False Positive (Recommendation),0.9013975,1,False Positive (Recommendation),True Positive,0.9956708,1,1,False,False,False,False,False,False,,,,,Competitive,Viable,1.0,0.6412675422916132,1820.457776511365,51.51938776438977,-0.1052259555481649
89194ad3247ffff,"POLYGON ((-0.1198683383942679 51.512529019685154, -0.1219599748637688 51.5115489443326, -0.1215264297830227 51.50980188802585, -0.1190014049867536 51.50903492761604, -0.1169098629679937 51.51001498239984, -0.117343251295169 51.511762018160766, -0.1198683383942679 51.512529019685154))",City of Westminster,3527.30712890625,12,19,11,8,0,1,1,3,0,1,0,155,284,120,109,15,13,12,34,0,10,64.0883977900553,53.5353535353535,68.8524590163934,2.76243093922652,3.27868852459016,61,189,90,340,4.51085950651685,5.247024072160486,4.127134385045092,5.831882477283517,354.6233754982523,5.873872236851188,7,6,1.9459101490553132,0.00035528185693983896,0.008573982933799571,0.019162744949396373,0.4,0.007865674861121297,5.9213116739668365e-05,20,-8.570811,8.791287,5.6269836,1,1,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.3935}, {'feature': 'n_restaurant', 'shap': 1.2908}, {'feature': 'n_pub', 'shap': 0.4441}]","[{'feature': 'n_cafe', 'shap': 1.2719}, {'feature': 'n_fast_food', 'shap': 1.0002}, {'feature': 'n_pub', 'shap': 0.8792}]","[{'feature': 'n_restaurant', 'shap': 1.3281}, {'feature': 'n_cafe', 'shap': 0.8534}, {'feature': 'nearby_pub', 'shap': 0.8045}]","[{'feature': 'n_restaurant', 'shap': 1.2785}, {'feature': 'n_cafe', 'shap': 1.0824}, {'feature': 'violent_crime_log1p', 'shap': 0.8032}]","[{'feature': 'n_cafe', 'shap': 0.5329}, {'feature': 'property_crime_log1p', 'shap': 0.4594}, {'feature': 'nearby_gym', 'shap': 0.4405}]","[{'feature': 'n_restaurant', 'shap': 1.0798}, {'feature': 'n_cafe', 'shap': 0.7824}, {'feature': 'n_fast_food', 'shap': 0.617}]",0.99677914,1,True Positive,0.9959812,1,True Positive,0.99455845,1,True Positive,0.9932452,1,True Positive,0.95086545,1,False Positive (Recommendation),0.95041823,1,True Positive,True Positive,0.99677914,1,1,False,False,False,False,False,False,,,,,Competitive,,1.0,0.688524590163934,2418.637695312498,51.510781975826916,-0.11943488685391908
