h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89194ad1267ffff,"POLYGON ((-0.1711097792429112 51.46507194369818, -0.1731997205853383 51.46408990203719, -0.1727647788384002 51.46234200247956, -0.1702400523025934 51.46157616506617, -0.1681502050551909 51.46255818608294, -0.1685849902489269 51.464306065155895, -0.1711097792429112 51.46507194369818))",Wandsworth,1247.3131103515625,14,0,2,12,2,0,0,0,0,0,1,25,56,36,22,7,3,14,4,1,12,74.95145631067959,50.14690724521691,66.5288339121623,6.893203883495152,7.722421901388311,33,96,100,229,4.61512051684126,4.574710978503383,3.5263605246161616,5.438079308923196,126.70495789504466,4.849722586834916,1,4,1.6094379124341003,0.00035528185693983896,0.008133718968750248,0.01816138319401322,0.4,0.007865674861121297,5.9213116739668365e-05,10,-5.3429685,7.3339005,4.38267,1,0,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.7159}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.872}, {'feature': 'n_restaurant', 'shap': -0.4302}]","[{'feature': 'n_cafe', 'shap': 1.3013}, {'feature': 'n_fast_food', 'shap': 1.1549}, {'feature': 'n_pub', 'shap': 0.8738}]","[{'feature': 'nearby_pub', 'shap': 0.8698}, {'feature': 'n_cafe', 'shap': 0.8614}, {'feature': 'n_fast_food', 'shap': 0.4804}]","[{'feature': 'n_cafe', 'shap': 1.3627}, {'feature': 'violent_crime_log1p', 'shap': 0.9334}, {'feature': 'n_restaurant', 'shap': -0.5669}]","[{'feature': 'n_cafe', 'shap': 0.5302}, {'feature': 'property_crime_log1p', 'shap': 0.4113}, {'feature': 'nearby_gym', 'shap': 0.3582}]","[{'feature': 'n_cafe', 'shap': 1.0098}, {'feature': 'n_fast_food', 'shap': 0.8835}, {'feature': 'n_restaurant', 'shap': -0.7799}]",0.98748183,1,True Positive,0.9916496,1,False Positive (Recommendation),0.9670902,1,True Positive,0.9566522,1,True Positive,0.92775023,1,True Positive,0.85435176,1,False Positive (Recommendation),True Positive,0.98748183,1,1,False,False,False,False,False,False,,Competitive,,,,Strong Recommend,2.0,0.665288339121623,642.8228675504167,51.46332405653875,-0.17067493083521618
89194ad33cbffff,"POLYGON ((-0.0988056191795602 51.502897704185216, -0.1008968857218662 51.50191792162709, -0.1004641361207523 51.50017081425915, -0.0979402766536888 51.49940351004244, -0.0958491046120172 51.50038327206749, -0.0962816975371722 51.5021303588409, -0.0988056191795602 51.502897704185216))",Southwark,1826.439453125,3,0,2,2,2,1,1,0,1,0,0,61,86,62,38,13,4,3,5,0,4,54.75742760436254,62.128830774114476,59.06611945647542,3.8736367055283916,6.986541454230689,50,63,73,186,4.30406509320417,4.1588830833596715,3.9318256327243257,5.231108616854587,352.7202584655888,5.86850637041401,5,2,1.0986122886681098,0.00035528185693983896,0.008697314896084584,0.019158070600103518,0.4,0.007865674861121297,5.9213116739668365e-05,20,-10.041975,7.7859936,5.020816,1,0,1,1,1,1,1,"[{'feature': 'n_fast_food', 'shap': 0.8984}, {'feature': 'n_bakery', 'shap': 0.6036}, {'feature': 'n_restaurant', 'shap': -0.4421}]","[{'feature': 'n_cafe', 'shap': 1.0895}, {'feature': 'n_fast_food', 'shap': 0.9761}, {'feature': 'n_pub', 'shap': 0.6841}]","[{'feature': 'nearby_pub', 'shap': 0.8965}, {'feature': 'n_cafe', 'shap': 0.5242}, {'feature': 'n_restaurant', 'shap': -0.4572}]","[{'feature': 'n_cafe', 'shap': 1.0998}, {'feature': 'violent_crime_log1p', 'shap': 0.7562}, {'feature': 'n_supermarket', 'shap': 0.5176}]","[{'feature': 'nearby_gym', 'shap': 0.5093}, {'feature': 'n_cafe', 'shap': 0.4967}, {'feature': 'age_16_to_34_perc', 'shap': 0.3493}]","[{'feature': 'n_restaurant', 'shap': -0.7034}, {'feature': 'n_cafe', 'shap': 0.6129}, {'feature': 'n_fast_food', 'shap': 0.491}]",0.97740513,1,True Positive,0.98916316,1,False Positive (Recommendation),0.9661431,1,True Positive,0.9465828,1,True Positive,0.9041959,1,True Positive,0.79552996,0,False Negative,True Positive,0.97740513,1,1,False,False,False,False,False,False,,Competitive,,,,,2.0,0.5906611945647542,1058.8069091830089,51.50115060929184,-0.09837296311361038
89195da6577ffff,"POLYGON ((-0.1089237178229354 51.61899889176164, -0.1110192528414947 51.6180209444182, -0.1105852738632515 51.61627539133449, -0.1080559171937026 51.61550780607311, -0.1059604770217647 51.61648573284793, -0.1063942986731264 51.61823126545132, -0.1089237178229354 51.61899889176164))",Enfield,779.4571533203125,5,0,3,6,1,0,1,0,0,0,0,14,6,3,6,1,2,5,4,0,7,0.0,0.0,0.0,0.0,0.0,10,103,58,171,4.07753744390572,4.6443908991413725,2.3978952727983707,5.147494476813453,195.02168254867294,5.278225278360327,1,3,1.3862943611198906,0.00035528185693983896,0.0034023089502179596,0.01537636401644326,0.4,0.007865674861121297,5.9213116739668365e-05,2,-0.85539913,12.474332,3.899379,1,0,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.8262}, {'feature': 'n_restaurant', 'shap': -0.4566}, {'feature': 'n_supermarket', 'shap': 0.4509}]","[{'feature': 'n_cafe', 'shap': 1.3081}, {'feature': 'n_fast_food', 'shap': 1.1843}, {'feature': 'n_pub', 'shap': 0.9184}]","[{'feature': 'n_cafe', 'shap': 0.8971}, {'feature': 'n_fast_food', 'shap': 0.5042}, {'feature': 'n_restaurant', 'shap': -0.492}]","[{'feature': 'n_cafe', 'shap': 1.2179}, {'feature': 'n_supermarket', 'shap': 0.6083}, {'feature': 'violent_crime_log1p', 'shap': 0.5045}]","[{'feature': 'n_cafe', 'shap': 0.6496}, {'feature': 'property_crime_log1p', 'shap': 0.4026}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3235}]","[{'feature': 'n_fast_food', 'shap': 0.9103}, {'feature': 'n_cafe', 'shap': 0.9065}, {'feature': 'n_restaurant', 'shap': -0.8748}]",0.97515464,1,Expansion Opportunity,0.9877565,1,False Positive (Recommendation),0.8475327,1,Expansion Opportunity,0.95653266,1,Expansion Opportunity,0.82106,1,Expansion Opportunity,0.80649054,0,True Negative,Expansion Opportunity,0.97515464,1,1,True,False,True,True,True,False,,Competitive,,,,,1.0,0.0,-55.0,51.61725335111901,-0.10848983271963177
89194ad152bffff,"POLYGON ((-0.1019043134214988 51.468292860399146, -0.1039943169627482 51.46731239759895, -0.1035617230734271 51.46556480623466, -0.1010392821332871 51.464797698285686, -0.0989493729663245 51.46577814055324, -0.0993818103656125 51.46752571130099, -0.1019043134214988 51.468292860399146))",Lambeth,758.4141845703125,7,0,2,5,3,0,0,0,0,0,1,10,4,5,10,4,1,7,5,1,5,72.39732569245463,47.56609327306765,60.56530331396994,4.297994269340973,10.651574466236806,21,65,78,164,4.3694478524670215,4.189654742026425,3.091042453358316,5.10594547390058,57.760522461500756,4.073470242714425,1,6,1.9459101490553132,0.00035528185693983896,0.008331959459981128,0.018720828456206436,0.4,0.007865674861121297,5.9213116739668365e-05,23,-11.227293,4.404219,1.65355,1,0,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 1.7419}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.8299}, {'feature': 'n_restaurant', 'shap': -0.4663}]","[{'feature': 'n_cafe', 'shap': 1.3147}, {'feature': 'n_fast_food', 'shap': 1.2202}, {'feature': 'n_pub', 'shap': 0.9079}]","[{'feature': 'n_cafe', 'shap': 0.9131}, {'feature': 'n_fast_food', 'shap': 0.5543}, {'feature': 'n_restaurant', 'shap': -0.4729}]","[{'feature': 'n_cafe', 'shap': 1.3059}, {'feature': 'violent_crime_log1p', 'shap': 0.8703}, {'feature': 'bus_stop_count_log', 'shap': 0.6083}]","[{'feature': 'n_cafe', 'shap': 0.5487}, {'feature': 'age_16_to_34_perc', 'shap': 0.393}, {'feature': 'nearby_gym', 'shap': 0.3261}]","[{'feature': 'n_cafe', 'shap': 0.9219}, {'feature': 'n_fast_food', 'shap': 0.9082}, {'feature': 'n_restaurant', 'shap': -0.7993}]",0.9769488,1,Expansion Opportunity,0.98657113,1,False Positive (Recommendation),0.9202094,1,Expansion Opportunity,0.9638379,1,Expansion Opportunity,0.8714516,1,Expansion Opportunity,0.8471186,0,True Negative,Expansion Opportunity,0.9769488,1,1,True,False,True,True,True,False,,Viable,,,,,2.0,0.6056530331396994,382.3358512611816,51.46654528151222,-0.10147181295961893
89194e69ac7ffff,"POLYGON ((-0.0563703259267179 51.557827974357316, -0.0584635693297172 51.55685009803199, -0.0580318597731997 51.55510390517645, -0.0555070637415925 51.55433560927706, -0.0534139151859843 51.555313465129345, -0.0538454678149992 51.557059637352644, -0.0563703259267179 51.557827974357316))",Hackney,1143.5675048828125,2,0,3,7,1,1,0,0,0,0,0,13,14,9,13,1,2,2,4,0,8,70.45215562565723,41.58540391462713,61.28076034254827,7.781282860147213,13.853068505980934,36,122,97,255,4.584967478670572,4.812184355372417,3.6109179126442243,5.545177444479562,622.9286186910291,6.436035968702685,1,8,2.1972245773362196,0.00035528185693983896,0.008281542692899374,0.017784059495623644,0.4,0.007865674861121297,5.9213116739668365e-05,13,-8.202426,9.768513,6.0789046,1,0,1,1,1,1,1,"[{'feature': 'n_fast_food', 'shap': 1.9113}, {'feature': 'n_bakery', 'shap': 0.614}, {'feature': 'n_pub', 'shap': 0.5196}]","[{'feature': 'n_fast_food', 'shap': 1.0357}, {'feature': 'n_pub', 'shap': 0.9375}, {'feature': 'n_cafe', 'shap': 0.9233}]","[{'feature': 'n_restaurant', 'shap': -0.4646}, {'feature': 'n_cafe', 'shap': 0.4628}, {'feature': 'n_fast_food', 'shap': 0.4443}]","[{'feature': 'n_cafe', 'shap': 1.178}, {'feature': 'violent_crime_log1p', 'shap': 0.8539}, {'feature': 'n_restaurant', 'shap': -0.5344}]","[{'feature': 'n_cafe', 'shap': 0.4532}, {'feature': 'property_crime_log1p', 'shap': 0.3028}, {'feature': 'population', 'shap': 0.1967}]","[{'feature': 'n_fast_food', 'shap': 0.9093}, {'feature': 'n_restaurant', 'shap': -0.694}, {'feature': 'n_cafe', 'shap': 0.6546}]",0.9844289,1,Expansion Opportunity,0.98336476,1,False Positive (Recommendation),0.8863661,1,Expansion Opportunity,0.9430258,1,True Positive,0.71329576,1,Expansion Opportunity,0.85936844,1,Expansion Opportunity,Expansion Opportunity,0.9844289,1,1,True,False,True,False,True,True,,Competitive,,,,,2.0,0.6128076034254827,690.7868620224953,51.55608179401502,-0.05593871011915484
89195da4d0bffff,"POLYGON ((-0.1359681711054826 51.53033882893257, -0.1380604728074092 51.52935871481302, -0.1376262400432553 51.52761184087533, -0.1350998624477582 51.52684510155587, -0.1330076551928672 51.52782519507772, -0.1334417310868321 51.529572048515305, -0.1359681711054826 51.53033882893257))",Camden,4164.3427734375,4,0,1,6,0,0,0,0,0,0,2,77,68,55,33,9,5,4,1,2,6,34.48275862068969,48.68305858592979,36.22822323777871,7.228915662650599,15.196787148594415,24,89,35,148,3.58351893845611,4.499809670330265,3.2188758248682006,5.003946305945459,97.59981498348097,4.5910693851715445,9,0,0.0,0.00035528185693983896,0.008590708506230995,0.0189152890100823,0.4,0.007865674861121297,5.9213116739668365e-05,20,-7.1993876,10.089428,6.0814104,1,0,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.6802}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.9504}, {'feature': 'n_restaurant', 'shap': -0.4312}]","[{'feature': 'n_cafe', 'shap': 1.3921}, {'feature': 'n_fast_food', 'shap': 1.2513}, {'feature': 'population', 'shap': 0.5542}]","[{'feature': 'nearby_pub', 'shap': 1.0394}, {'feature': 'n_cafe', 'shap': 0.7108}, {'feature': 'n_fast_food', 'shap': 0.4958}]","[{'feature': 'n_cafe', 'shap': 1.2648}, {'feature': 'bus_stop_count_log', 'shap': -0.6171}, {'feature': 'n_restaurant', 'shap': -0.5598}]","[{'feature': 'n_cafe', 'shap': 0.4853}, {'feature': 'nearby_gym', 'shap': 0.3963}, {'feature': 'age_16_to_34_perc', 'shap': 0.352}]","[{'feature': 'n_cafe', 'shap': 0.9541}, {'feature': 'n_fast_food', 'shap': 0.8783}, {'feature': 'n_restaurant', 'shap': -0.7019}]",0.97963,1,True Positive,0.98273003,1,False Positive (Recommendation),0.9456365,1,True Positive,0.7337042,1,True Positive,0.8487813,1,False Positive (Recommendation),0.7258489,0,True Negative,True Positive,0.97963,1,1,False,False,False,False,False,False,,Competitive,,,Competitive,,3.0,0.36228223237778706,1459.6673963472426,51.52859196742152,-0.13553403191716504
89194ad3353ffff,"POLYGON ((-0.1004641361207523 51.50017081425915, -0.10255530424788 51.49919094696878, -0.102122518422376 51.49744379599843, -0.0995987211331019 51.49667653291057, -0.0975076474911575 51.497656379665614, -0.0979402766536888 51.49940351004244, -0.1004641361207523 51.50017081425915))",Southwark,3733.453369140625,3,0,2,1,1,0,0,2,0,1,0,48,65,41,31,14,4,3,6,0,1,62.69744835965977,58.51029200046962,68.58085671370402,3.1591737545565004,6.24940268520665,23,160,93,276,4.543294782270004,5.081404364984463,3.1780538303479458,5.6240175061873385,395.0597673017079,5.9815651273956325,4,5,1.791759469228055,0.00035528185693983896,0.008921829014530742,0.019157809773380156,0.4,0.007865674861121297,5.9213116739668365e-05,20,-10.155132,7.6390104,4.9006224,1,0,1,1,1,0,1,"[{'feature': 'n_fast_food', 'shap': 0.8673}, {'feature': 'n_restaurant', 'shap': -0.4645}, {'feature': 'nearby_cafe', 'shap': 0.3846}]","[{'feature': 'n_cafe', 'shap': 1.151}, {'feature': 'n_pub', 'shap': 0.7958}, {'feature': 'n_fast_food', 'shap': 0.6933}]","[{'feature': 'nearby_pub', 'shap': 0.9507}, {'feature': 'n_cafe', 'shap': 0.5351}, {'feature': 'n_restaurant', 'shap': -0.4851}]","[{'feature': 'n_cafe', 'shap': 1.268}, {'feature': 'violent_crime_log1p', 'shap': 0.9717}, {'feature': 'n_restaurant', 'shap': -0.5707}]","[{'feature': 'nearby_gym', 'shap': 0.5025}, {'feature': 'n_cafe', 'shap': 0.4766}, {'feature': 'property_crime_log1p', 'shap': 0.4249}]","[{'feature': 'n_cafe', 'shap': 0.6768}, {'feature': 'n_restaurant', 'shap': -0.6631}, {'feature': 'n_fast_food', 'shap': 0.3733}]",0.9587319,1,True Positive,0.98239946,1,False Positive (Recommendation),0.9489217,1,True Positive,0.95121163,1,True Positive,0.9156353,1,True Positive,0.7767484,0,True Negative,True Positive,0.9587319,1,1,False,False,False,False,False,False,,Competitive,,,,,2.0,0.6858085671370402,2545.434305563287,51.49842367576196,-0.10003144382031713
89195da650fffff,"POLYGON ((-0.1072620265849971 51.621722263446166, -0.1093576604490448 51.62074440099902, -0.1089237178229354 51.61899889176164, -0.1063942986731264 51.61823126545132, -0.1042987596712245 51.61920910733209, -0.1047325449573961 51.62095459608813, -0.1072620265849971 51.621722263446166))",Enfield,773.9894409179688,4,0,2,3,0,0,0,0,0,0,0,15,6,5,7,2,2,4,2,0,3,0.0,0.0,0.0,0.0,0.0,29,157,93,279,4.543294782270004,5.062595033026967,3.4011973816621555,5.634789603169249,273.7479406025807,5.615854097723631,1,3,1.3862943611198906,0.00035528185693983896,0.0032799279892703655,0.015229969342731709,0.4,0.007865674861121297,5.9213116739668365e-05,2,-0.60109353,12.653368,3.7286487,1,0,1,1,0,0,1,"[{'feature': 'n_fast_food', 'shap': 1.7102}, {'feature': 'n_restaurant', 'shap': -0.4845}, {'feature': 'n_pub', 'shap': 0.4369}]","[{'feature': 'n_cafe', 'shap': 1.3467}, {'feature': 'n_fast_food', 'shap': 1.2685}, {'feature': 'n_pub', 'shap': 0.8767}]","[{'feature': 'n_cafe', 'shap': 0.8092}, {'feature': 'n_restaurant', 'shap': -0.4935}, {'feature': 'n_fast_food', 'shap': 0.4701}]","[{'feature': 'n_cafe', 'shap': 1.3826}, {'feature': 'violent_crime_log1p', 'shap': 0.8778}, {'feature': 'n_restaurant', 'shap': -0.5559}]","[{'feature': 'n_cafe', 'shap': 0.6296}, {'feature': 'property_crime_log1p', 'shap': 0.4318}, {'feature': 'n_restaurant', 'shap': -0.2092}]","[{'feature': 'n_cafe', 'shap': 0.9092}, {'feature': 'n_restaurant', 'shap': -0.868}, {'feature': 'n_fast_food', 'shap': 0.812}]",0.9376669,1,Expansion Opportunity,0.98215413,1,False Positive (Recommendation),0.8179097,1,Expansion Opportunity,0.95186454,1,Expansion Opportunity,0.7392886,1,False Positive (Recommendation),0.76965725,0,True Negative,Expansion Opportunity,0.9376669,1,1,True,False,True,True,False,False,,Competitive,,,Viable,,1.0,0.0,-50.0,51.61997676665128,-0.10682817784398649
89194ac335bffff,"POLYGON ((-0.1861741135240976 51.366177392730364, -0.1882604617267977 51.36519327407039, -0.1878257546875183 51.36344397323953, -0.1853048554769392 51.362678811602066, -0.1832186009865635 51.36366290960837, -0.1836531519948083 51.36541218990438, -0.1861741135240976 51.366177392730364))",Sutton,599.6283569335938,2,0,4,2,0,1,0,0,0,0,0,15,23,11,19,2,1,2,4,0,3,0.0,0.0,0.0,0.0,0.0,31,41,37,109,3.6375861597263857,3.7376696182833684,3.4657359027997265,4.700480365792417,638.5647138747918,6.460787810386636,1,5,1.791759469228055,0.00035528185693983896,0.0021717977441671373,0.013910444662374448,0.4,0.007865674861121297,5.9213116739668365e-05,5,-4.0658526,4.2328773,-11.977678,1,0,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 1.1883}, {'feature': 'n_bakery', 'shap': 0.7301}, {'feature': 'n_pub', 'shap': 0.6119}]","[{'feature': 'n_fast_food', 'shap': 1.0817}, {'feature': 'n_cafe', 'shap': 1.0035}, {'feature': 'n_pub', 'shap': 0.83}]","[{'feature': 'n_restaurant', 'shap': -0.4179}, {'feature': 'n_cafe', 'shap': 0.4007}, {'feature': 'n_fast_food', 'shap': 0.3637}]","[{'feature': 'n_cafe', 'shap': 1.2326}, {'feature': 'bus_stop_count_log', 'shap': 0.6179}, {'feature': 'n_restaurant', 'shap': -0.5326}]","[{'feature': 'n_cafe', 'shap': 0.3286}, {'feature': 'n_pub', 'shap': 0.1822}, {'feature': 'n_restaurant', 'shap': -0.1677}]","[{'feature': 'n_restaurant', 'shap': -0.7329}, {'feature': 'n_cafe', 'shap': 0.7164}, {'feature': 'n_fast_food', 'shap': 0.7011}]",0.881791,1,Expansion Opportunity,0.9810627,1,False Positive (Recommendation),0.8139343,1,Expansion Opportunity,0.96433794,1,True Positive,0.5088232,0,True Negative,0.8563848,1,Expansion Opportunity,Expansion Opportunity,0.881791,1,1,True,False,True,False,False,True,,Competitive,,,,,1.0,0.0,-10.0,51.36442810429824,-0.1857394995106494
89195daebc7ffff,"POLYGON ((-0.3476103859986552 51.544249834868765, -0.3497033418401647 51.54326531412274, -0.3492617373671974 51.541517839186824, -0.3467273342417537 51.54075490507237, -0.3446344720643291 51.54173940487655, -0.345075919348575 51.54348685973558, -0.3476103859986552 51.544249834868765))",Ealing,466.3607482910156,3,0,1,3,0,2,0,0,0,0,1,3,1,1,2,1,0,3,1,1,5,0.0,0.0,0.0,0.0,0.0,19,36,35,90,3.58351893845611,3.6109179126442243,2.995732273553991,4.51085950651685,169.81676732814722,5.1405914459047155,1,3,1.3862943611198906,0.00035528185693983896,0.004765885700561029,0.01413301578201848,0.4,0.007865674861121297,5.9213116739668365e-05,18,3.5208461,13.395462,-2.6400788,1,0,1,1,0,1,1,"[{'feature': 'n_fast_food', 'shap': 2.0205}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.7324}, {'feature': 'n_bakery', 'shap': 0.5958}]","[{'feature': 'n_cafe', 'shap': 1.2492}, {'feature': 'n_fast_food', 'shap': 1.243}, {'feature': 'n_bakery', 'shap': 0.7022}]","[{'feature': 'n_cafe', 'shap': 0.6408}, {'feature': 'n_fast_food', 'shap': 0.5036}, {'feature': 'n_restaurant', 'shap': -0.4801}]","[{'feature': 'n_cafe', 'shap': 1.2755}, {'feature': 'n_bakery', 'shap': 0.5507}, {'feature': 'n_restaurant', 'shap': -0.5222}]","[{'feature': 'n_cafe', 'shap': 0.5718}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3733}, {'feature': 'n_bakery', 'shap': -0.2427}]","[{'feature': 'n_fast_food', 'shap': 0.9844}, {'feature': 'n_restaurant', 'shap': -0.7288}, {'feature': 'n_cafe', 'shap': 0.6534}]",0.9493723,1,Expansion Opportunity,0.9797379,1,False Positive (Recommendation),0.83252966,1,Expansion Opportunity,0.95697737,1,Expansion Opportunity,0.5405863,0,True Negative,0.85786253,1,Expansion Opportunity,Expansion Opportunity,0.9493723,1,1,True,False,True,True,False,True,,Prime Location,,,,,1.0,0.0,-37.0,51.542502372112956,-0.34716887489890025
